CUSTOMER_ID,SERVICE_TYPE,ARRIVAL_TIME
1,WIRE,2015-06-01 09:00:00.811
2,DEPOSIT,2015-06-01 09:00:48.811
3,CHECK,2015-06-01 09:01:36.811
4,WITHDRAW,2015-06-01 09:02:24.811
5,TRANSFER,2015-06-01 09:03:12.811
6,ATM,2015-06-01 09:04:00.811
7,WITHDRAW,2015-06-01 09:04:48.811
8,BALANCE,2015-06-01 09:05:36.811
9,DEPOSIT,2015-06-01 09:06:24.811
10,BALANCE,2015-06-01 09:07:12.811
11,DEPOSIT,2015-06-01 09:08:00.811
12,TRANSFER,2015-06-01 09:08:48.811
13,CHECK,2015-06-01 09:09:36.811
14,ATM,2015-06-01 09:10:24.811
15,DEPOSIT,2015-06-01 09:11:12.811
16,CHECK,2015-06-01 09:12:00.811
17,WIRE,2015-06-01 09:12:48.811
18,WIRE,2015-06-01 09:13:36.811
19,DEPOSIT,2015-06-01 09:14:24.811
20,ATM,2015-06-01 09:15:12.811
21,TRANSFER,2015-06-01 09:16:00.811
22,WITHDRAW,2015-06-01 09:16:48.811
23,BALANCE,2015-06-01 09:17:36.811
24,CHECK,2015-06-01 09:18:24.811
25,WITHDRAW,2015-06-01 09:19:12.811
26,CHECK,2015-06-01 09:20:00.811
27,TRANSFER,2015-06-01 09:20:48.811
28,DEPOSIT,2015-06-01 09:21:36.811
29,WIRE,2015-06-01 09:22:24.811
30,DEPOSIT,2015-06-01 09:23:12.811
31,BALANCE,2015-06-01 09:24:00.811
32,TRANSFER,2015-06-01 09:24:48.811
33,DEPOSIT,2015-06-01 09:25:36.811
34,WITHDRAW,2015-06-01 09:26:24.811
35,DEPOSIT,2015-06-01 09:27:12.811
36,WIRE,2015-06-01 09:28:00.811
37,ATM,2015-06-01 09:28:48.811
38,CHECK,2015-06-01 09:29:36.811
39,WIRE,2015-06-01 09:30:24.811
40,BALANCE,2015-06-01 09:31:12.811
41,CHECK,2015-06-01 09:32:00.811
42,WITHDRAW,2015-06-01 09:32:48.811
43,CHECK,2015-06-01 09:33:36.811
44,WIRE,2015-06-01 09:34:24.811
45,BALANCE,2015-06-01 09:35:12.811
46,DEPOSIT,2015-06-01 09:36:00.811
47,DEPOSIT,2015-06-01 09:36:48.811
48,BALANCE,2015-06-01 09:37:36.811
49,DEPOSIT,2015-06-01 09:38:24.811
50,BALANCE,2015-06-01 09:39:12.811
51,WIRE,2015-06-01 09:40:00.811
52,TRANSFER,2015-06-01 09:40:48.811
53,CHECK,2015-06-01 09:41:36.811
54,WITHDRAW,2015-06-01 09:42:24.811
55,ATM,2015-06-01 09:43:12.811
56,BALANCE,2015-06-01 09:44:00.811
57,OPEN,2015-06-01 09:44:48.811
58,BALANCE,2015-06-01 09:45:36.811
59,CHECK,2015-06-01 09:46:24.811
60,WITHDRAW,2015-06-01 09:47:12.811
61,WITHDRAW,2015-06-01 09:48:00.811
62,OPEN,2015-06-01 09:48:48.811
63,WIRE,2015-06-01 09:49:36.811
64,WITHDRAW,2015-06-01 09:50:24.811
65,TRANSFER,2015-06-01 09:51:12.811
66,ATM,2015-06-01 09:52:00.811
67,CHECK,2015-06-01 09:52:48.811
68,ATM,2015-06-01 09:53:36.811
69,CHECK,2015-06-01 09:54:24.811
70,WITHDRAW,2015-06-01 09:55:12.811
71,WITHDRAW,2015-06-01 09:56:00.811
72,TRANSFER,2015-06-01 09:56:48.811
73,CHECK,2015-06-01 09:57:36.811
74,TRANSFER,2015-06-01 09:58:24.811
75,OPEN,2015-06-01 09:59:12.811
76,DEPOSIT,2015-06-01 10:00:00.811
77,OPEN,2015-06-01 10:00:48.811
